2010-01-27 00:46:28 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/home/rhrn/www/cakephp1x/cake/libs/controller/scaffold.php, line 465]
2010-01-27 00:46:29 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/home/rhrn/www/cakephp1x/cake/libs/controller/scaffold.php, line 465]
2010-01-27 00:47:39 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/home/rhrn/www/cakephp1x/cake/libs/controller/scaffold.php, line 465]
2010-01-27 00:47:40 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/home/rhrn/www/cakephp1x/cake/libs/controller/scaffold.php, line 465]
2010-01-27 01:15:56 Warning: Warning (2): Missing argument 1 for FormHelper::text(), called in /home/rhrn/www/cakephp1x/app/views/items/admin_add.ctp on line 3 and defined in [/home/rhrn/www/cakephp1x/cake/libs/view/helpers/form.php, line 1047]
2010-01-27 01:35:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-27 01:35:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-27 01:39:14 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-27 01:42:17 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-27 01:49:02 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-27 01:54:19 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rhrn/www/cakephp1x/cake/basics.php:353) in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 715]
2010-01-28 17:36:25 Warning: Warning (2): preg_match() [<a href='http://php.net/function.preg-match'>function.preg-match</a>]: Delimiter must not be alphanumeric or backslash in [/home/rhrn/www/cakephp1x/cake/libs/model/model.php, line 2564]
2010-01-29 01:04:22 Warning: Warning (2): getimagesize(fdd) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [/home/rhrn/www/cakephp1x/app/models/image.php, line 23]
2010-01-29 01:04:22 Warning: Warning (2): getimagesize(ffefefe) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [/home/rhrn/www/cakephp1x/app/models/image.php, line 23]
2010-01-29 01:04:48 Warning: Warning (2): getimagesize(hvhvh) [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in [/home/rhrn/www/cakephp1x/app/models/image.php, line 23]
2010-01-29 01:04:48 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [/home/rhrn/www/cakephp1x/app/models/image.php, line 29]
2010-01-29 02:09:59 Warning: Warning (2): mkdir() [<a href='http://php.net/function.mkdir'>function.mkdir</a>]: Permission denied in [/home/rhrn/www/cakephp1x/app/models/image.php, line 23]
2010-01-29 02:11:00 Warning: Warning (2): mkdir() [<a href='http://php.net/function.mkdir'>function.mkdir</a>]: Permission denied in [/home/rhrn/www/cakephp1x/app/models/image.php, line 23]
2010-01-29 02:11:00 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [/home/rhrn/www/cakephp1x/app/models/image.php, line 40]
2010-01-29 02:13:01 Warning: Warning (2): mkdir() [<a href='http://php.net/function.mkdir'>function.mkdir</a>]: Permission denied in [/home/rhrn/www/cakephp1x/app/models/image.php, line 22]
2010-01-29 02:29:56 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [/home/rhrn/www/cakephp1x/app/models/image.php, line 39]
2010-01-29 04:37:04 Warning: Warning (512): Items::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:37:19 Warning: Warning (512): Items::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:37:24 Warning: Warning (512): Items::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:37:43 Warning: Warning (512): Items::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:55 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:55 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:56 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:56 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:57 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:57 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:57 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:58 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:58 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:58 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:59 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:59 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:44:59 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:45:00 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
2010-01-29 04:45:00 Warning: Warning (512): Pages::isAuthorized() is not defined. in [/home/rhrn/www/cakephp1x/cake/libs/controller/controller.php, line 773]
